datetime,doy,dap,hour,LN,lai,Icsun,Icsh,laisun,laish,sunhgt,aAn,bAn,leaf,assim,assimSum,dvs
2017-12-07 18:00:00,341,78.0,18,72.41231672289487,3.830323985719868,1.1369534781606205,7.11406171701897,0.19991667612785363,3.630407309592014,0.05,-0.43336536057719816,0.028532039512478513,85.36481655288097,0.0018301639357578175,924.8624663244693,1.2917650241517573
2017-12-07 19:00:00,341,78.0,19,72.43829579444782,3.830323985719868,0.0284238369540155,0.1778515429254743,0.19991667612785363,3.630407309592014,0.05,-0.47185667080126475,-0.4599047319717799,85.36051163000674,-0.19050913993337815,924.6719571845359,1.2919927358244383
2017-12-07 20:00:00,341,78.0,20,72.4606051334431,3.830323985719868,0.0284238369540155,0.1778515429254743,0.19991667612785363,3.630407309592014,0.05,-0.4268849595070998,-0.4148582266683636,85.3562055570974,-0.17187614215936278,924.5000810423766,1.292181825333807
2017-12-07 21:00:00,341,78.0,21,72.488745140282,3.830323985719868,0.0284238369540155,0.1778515429254743,0.19991667612785363,3.630407309592014,0.05,-0.5008992820779263,-0.4889934582401194,85.35189797281375,-0.20254142282602902,924.2975396195505,1.2924301729306773
2017-12-07 22:00:00,341,78.0,22,72.5179502281303,3.830323985719868,0.0284238369540155,0.1778515429254743,0.19991667612785363,3.630407309592014,0.05,-0.5160315986268921,-0.5041491767905292,85.34758881798267,-0.208810459280113,924.0887291602704,1.2926880592254602
2017-12-07 23:00:00,341,78.0,23,72.54210291136677,3.830323985719868,0.0,0.0,0.19991667612785363,3.630407309592014,0.05,-0.45113319228773974,-0.45113319228773974,85.34327838940932,-0.18662251901480306,923.9021066412556,1.292897071647292
2017-12-08 00:00:00,342,79.0,0,72.56144370298584,3.830323985719868,0.0,0.0,0.19991667612785363,3.630407309592014,0.05,-0.3960942573161313,-0.3960942573161313,85.3389670145536,-0.16385428811561847,923.73825235314,1.2930522701763554
2017-12-08 01:00:00,342,79.0,1,72.57929897175065,3.830323985719868,0.0,0.0,0.19991667612785363,3.630407309592014,0.05,-0.3804574820566243,-0.3804574820566243,85.33465480006807,-0.15738574525935203,923.5808666078806,1.29318991972923
2017-12-08 02:00:00,342,79.0,2,72.5953039826297,3.830323985719868,0.0,0.0,0.19991667612785363,3.630407309592014,0.05,-0.3617178876996417,-0.3617178876996417,85.33034188047124,-0.1496336437425452,923.4312329641381,1.2933054748093213
2017-12-08 03:00:00,342,79.0,3,72.60874639457013,3.830323985719868,0.0,0.0,0.19991667612785363,3.630407309592014,0.05,-0.33692000454407045,-0.33692000454407045,85.32602844051158,-0.13937537966479197,923.2918575844733,1.2933907287056627
